0hBJ0gd9T_U,00:00:08.34,00:00:20.62,0.4000,0.2071,0.1742,y
1_l6-wMAvaA,00:00:14.52,00:00:33.42,0.5405,0.3431,0.1956,y
4sFuULOY5ik,00:00:12.39,00:00:22.51,0.5430,0.2524,0.0782,y
5rxH_ELrwTU,00:00:00.00,00:00:14.66,0.0000,0.3253,0.5280,y
5rxH_ELrwTU,00:00:43.99,00:01:02.06,0.6415,0.1458,0.2987,y
5YHUlEP7auA,00:00:07.00,00:00:17.07,0.5550,0.2329,0.1173,y
6H8IKoacICU,00:00:07.33,00:00:17.39,0.2060,0.2560,0.1173,y
82PyW_G61MU,00:00:11.47,00:00:22.35,0.6258,0.3065,0.1751,y
_bMK1icRofI,00:00:04.75,00:00:15.10,0.2295,0.2231,0.1351,y
ALbQbfHaRL0,00:00:19.33,00:00:44.04,0.3965,0.2347,0.1351,y
aQ6h8U-rqZ4,00:00:22.37,00:00:32.56,0.7070,0.4533,0.1867,y
Bx3qXB5O2fY,00:00:19.03,00:00:40.17,0.1520,0.2844,0.1867,y
crC_dMs6chY,00:00:03.64,00:00:13.92,0.2180,0.2240,0.0729,y
e7ZJAC62_og,00:00:05.87,00:00:18.64,0.7180,0.3627,0.1973,y
H35eyL2M-ng,00:00:04.71,00:00:17.53,0.5490,0.4711,0.5280,y
I-EKqLdbysk,00:00:00.00,00:00:41.07,0.5110,0.4292,0.3104,y
I-EKqLdbysk,00:00:32.50,00:00:42.75,0.6160,0.1092,0.1984,y
i5v_ygxv-8M,00:00:09.18,00:00:19.26,0.4970,0.2631,0.2044,y
IDpdBu-je6E,00:00:16.14,00:00:33.28,0.1980,0.4391,0.4018,y
IDpdBu-je6E,00:00:24.82,00:00:34.88,0.5315,0.6204,0.3787,y
IOHBGgt5oG4,00:00:08.48,00:00:18.55,0.0865,0.4489,0.5493,y
iVMA7GhSJjM,00:00:14.38,00:00:35.45,0.0835,0.3298,0.2364,y
iXFgOBjk860,00:00:17.32,00:00:36.27,0.3230,0.2255,0.2363,y
JYQ9AwsTkAw,00:00:15.86,00:00:25.96,0.4660,0.3342,0.1262,y
jz1qXpZotbc,00:00:08.08,00:00:18.37,0.1570,0.2827,0.1298,y
K8mSP7f4ORI,00:00:13.00,00:00:23.39,0.1615,0.3627,0.1298,y
L0KTqPloUiU,00:00:29.62,00:00:40.89,0.5522,0.1287,0.2713,y
L0KTqPloUiU,00:00:30.98,00:00:41.21,0.5777,0.3936,0.5628,y
L0KTqPloUiU,00:01:21.04,00:01:33.26,0.5672,0.5216,0.4775,y
lcB1184hw30,00:00:03.10,00:00:13.99,0.6065,0.1938,0.1031,y
lvS0S6X3_xc,00:00:00.00,00:01:15.15,0.0000,0.4060,0.5931,y
lvS0S6X3_xc,00:00:06.88,00:00:25.89,0.8934,0.2514,0.1753,y
n8O__d9ecZs,00:00:06.46,00:00:23.53,0.7985,0.3004,0.1813,y
nANNAtq8Bpw,00:00:09.92,00:00:20.73,0.7900,0.2604,0.2578,y
NycwxaU4GPw,00:00:18.73,00:00:40.50,0.1462,0.2905,0.6126,y
NycwxaU4GPw,00:00:32.36,00:00:44.42,0.7782,0.1074,0.1788,y
NycwxaU4GPw,00:00:52.15,00:01:02.64,0.6042,0.3173,0.4124,y
ofWuFIb_Luw,00:00:16.67,00:00:29.48,0.3150,0.1056,0.1611,y
ofWuFIb_Luw,00:00:20.16,00:00:38.53,0.6287,0.3652,0.6126,y
ofWuFIb_Luw,00:00:39.71,00:00:53.50,0.2797,0.2318,0.2108,y
oSEO5aLoVVw,00:00:04.54,00:00:14.80,0.5460,0.4427,0.3058,y
OsmCQeJndVM,00:00:00.00,00:00:32.35,0.3195,0.2827,0.3502,y
OsmCQeJndVM,00:00:07.75,00:00:17.76,0.5950,0.2578,0.2631,y
PuAfTA2wf7o,00:00:36.63,00:00:46.85,0.3910,0.2169,0.1333,y
Q2t0CJ7Sszs,00:00:35.14,00:00:48.45,0.4070,0.3723,0.6268,y
rgCVJx_100I,00:00:29.26,00:00:49.52,0.2550,0.3396,0.1618,y
sBlxMGGOpVk,00:00:06.91,00:00:22.30,0.4275,0.2844,0.1227,y
sXeHeio0JT8,00:00:18.16,00:00:28.42,0.5980,0.4409,0.1244,y
sXeHeio0JT8,00:00:24.78,00:00:36.53,0.1960,0.4604,0.2471,y
syO6NtNR6xY,00:00:29.05,00:00:39.95,0.6740,0.4800,0.3876,y
T5mDQeDkca0,00:00:41.61,00:01:00.75,0.7090,0.4533,0.4818,y
u8gJy6Jeuzg,00:00:21.30,00:00:37.46,0.7900,0.3929,0.3573,y
uFT1yAicqsk,00:00:16.53,00:00:26.57,0.5280,0.3716,0.1760,y
usWABZrI75M,00:00:00.00,00:00:56.65,0.4155,0.1991,0.2471,y
